"Elemento","categorias","n_cats"
"Os02g0178100","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os02g0190300","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os02g0272300","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os02g0584800","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os02g0757100","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os03g0103300","hypo - BGI (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os03g0279700","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os03g0305100","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os03g0310800","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os03g0608000","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os04g0338100","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os04g0523812","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os04g0554500","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os05g0205400","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os05g0319100","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os05g0424700","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os05g0526200","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os05g0527100","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os06g0507300","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os06g0587900","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os06g0643700","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os07g0100200","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os07g0106900","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os07g0152700","hypo - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os07g0170000","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os07g0611200","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os07g0635150","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os07g0638400","hypo - BGI (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os08g0126100","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os08g0480000","hypo - BGI (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os08g0498400","hypo - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os08g0538600","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os09g0309600","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os09g0400400","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os09g0458800","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os09g0530300","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os10g0162980","hypo - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os10g0496900","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os10g0513900","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os10g0576900","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os10g0580400","hypo - BGI (CHH context) - Upstream | BGI_DOWN",2
"Os11g0160400","hypo - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os11g0210201","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os11g0655900","hypo - BGI (CHH context) - Upstream | AZU_DOWN | BGI_UP",3
"Os11g0701600","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os12g0114900","hypo - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os12g0431100","hypo - BGI (CHH context) - Upstream | AZU_UP",2
"Os12g0459100","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os12g0626200","hypo - BGI (CHH context) - Upstream | BGI_UP",2
"Os01g0806400","hyper - BGI (CHH context) - Upstream | AZU_UP",2
"Os02g0124650","hyper - BGI (CHH context) - Upstream | AZU_UP",2
"Os02g0209300","hyper - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os02g0569000","hyper - BGI (CHH context) - Upstream | AZU_DOWN",2
"Os05g0181300","hyper - BGI (CHH context) - Upstream | AZU_DOWN | BGI_DOWN",3
"Os06g0226050","hyper - BGI (CHH context) - Upstream | AZU_UP",2
"Os09g0482900","hyper - BGI (CHH context) - Upstream | BGI_DOWN",2
